Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10pF","C_0805_2012Metric",184.409000,-70.739000,-90.000000,top
"C2","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",131.572000,-83.134200,180.000000,top
"C3","1F","CP_Radial_D22.0mm_P10.00mm_SnapIn",149.087200,-104.837600,0.000000,top
"C4","20pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.336000,-91.948000,90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.830800,-109.118400,-90.000000,top
"C6","20pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.356400,-89.594500,-90.000000,top
"C7","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.530700,-97.490600,-90.000000,top
"C8","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",114.198400,-90.267320,0.000000,top
"C9","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",114.198400,-96.919560,0.000000,top
"C10","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.530700,-95.204600,90.000000,top
"C11","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.595400,-77.440700,-90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.110000,-77.440700,-90.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.624600,-77.440700,-90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.139200,-77.440700,-90.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.653800,-77.440700,-90.000000,top
"C16","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.629600,-81.915000,-90.000000,top
"C17","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.658800,-81.915000,-90.000000,top
"C18","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.629100,-79.375000,180.000000,top
"C19","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.558000,-69.973100,-90.000000,top
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.555200,-69.998500,-90.000000,top
"C22","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.629100,-76.428600,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.025600,-63.474600,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.434800,-63.474600,-90.000000,top
"D3","1N5817","D_DO-41_SOD81_P10.16mm_Horizontal",141.660800,-102.362000,-90.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.844000,-63.474600,-90.000000,top
"D5","BZX84C7V5LT1G","SOT-23",129.870200,-75.260200,90.000000,top
"FB1","Ferrite_Bead","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",115.600400,-81.915000,90.000000,top
"J1","SWD","IDC-Header_2x05_P2.54mm_Vertical",175.361600,-64.144500,-90.000000,top
"J2","USART Interface","PinHeader_2x04_P2.54mm_Vertical",121.261133,-120.980200,90.000000,top
"J3","SPI Interface","PinHeader_2x05_P2.54mm_Vertical",103.682800,-120.980200,90.000000,top
"J4","Unused Pin","PinHeader_2x08_P2.54mm_Vertical",151.317800,-120.980200,90.000000,top
"J5","LED_Switch","PinHeader_2x03_P2.54mm_Vertical",148.869400,-74.244200,90.000000,top
"J6","RF_UFL_Connector","U.FL_Molex_MCRF_73412-0110_Vertical",195.077000,-114.300000,-90.000000,top
"J8","RFM_Switch","PinHeader_2x04_P2.54mm_Vertical",166.141400,-103.489600,0.000000,top
"J9","ADC_Pin","PinHeader_2x08_P2.54mm_Vertical",158.692600,-82.379400,0.000000,top
"J10","Unused Pins","PinHeader_2x11_P2.54mm_Vertical",129.032000,-110.129400,-90.000000,top
"J11","Micro_SD_Card","microSD_HC_Molex_104031-0811",103.687800,-91.254400,90.000000,top
"J12","I2C Interface","PinHeader_2x04_P2.54mm_Vertical",136.289466,-120.980200,90.000000,top
"J13","Power Out","PinHeader_1x04_P2.54mm_Vertical",109.529800,-62.077600,90.000000,top
"J14","Power In","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",100.258800,-68.935600,-90.000000,top
"J16","RFM_DIO","PinHeader_1x06_P2.54mm_Vertical",195.331000,-109.397800,180.000000,top
"J17","SDI-12","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",131.343400,-64.770000,180.000000,top
"Q1","BSS123LT1G","SOT-23_Handsoldering",138.612800,-68.453000,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.316800,-85.521800,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.409000,-75.285600,90.000000,top
"R3","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.063700,-67.437000,-90.000000,top
"R4","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.409400,-67.437000,-90.000000,top
"R5","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.830800,-104.241600,-90.000000,top
"R6","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.994200,-92.887800,180.000000,top
"R7","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.198400,-94.705480,180.000000,top
"R8","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.755100,-67.437000,-90.000000,top
"R9","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.198400,-92.481400,180.000000,top
"R10","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.198400,-88.053240,180.000000,top
"R11","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.198400,-85.829160,180.000000,top
"R12","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.000000,-70.400000,90.000000,top
"R13","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.186600,-71.526400,180.000000,top
"R14","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.884600,-71.526400,180.000000,top
"SW1","BOOT0","Switch_SPDT_THT",192.533400,-85.445600,90.000000,top
"SW2","RESET","SW_PUSH_6mm_H4.3mm",189.185400,-69.784400,0.000000,top
"U1","STM32F411R(C_E)T6","LQFP-64_10x10mm_P0.5mm",135.641000,-91.254400,180.000000,top
"U2","SN74LVC1G125DBVR","SOT-23-5",137.901600,-72.466200,180.000000,top
"U3","RFM95W_96W_98W","HOPERF_RFM9XW_SMD",181.462600,-107.289600,0.000000,top
"U4","MCP1703","SOT-223-3_TabPin2",115.824000,-71.272400,0.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",151.282400,-90.805000,90.000000,top
"Y2","32kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",149.842100,-96.449200,-90.000000,top
